Trait	Heritability
asv_000112	0.320419175213947
asv_002995	0.0919235639690305
asv_000272	0.413282293479879
asv_001978	0.0963187291457259
asv_000009	0.192066917637702
asv_000095	0.183466563626485
asv_000630	0.143661006951546
asv_004714	0.0950353916989163
asv_000049	0.138308640649271
asv_000251	0.0443570161449076
asv_003033	0
asv_002166	0
asv_000920	0.346614667762583
asv_001749	0.283004695951103
asv_000163	3.06386636351576e-08
asv_001507	0
asv_000498	0.189989434177558
asv_000860	0.212993296266981
asv_000246	0.0962276177416606
asv_000196	0.494605285782729
asv_000596	0.418978916367726
asv_001276	1.31456209314281e-09
asv_000641	1.06217305339751e-09
asv_000559	0.464739817133371
asv_000281	0.341794274537835
asv_000241	5.45581407063827e-09
asv_000041	0.185540232373672
asv_000013	0.423990000085349
asv_000411	0
asv_000396	0.237848288082257
asv_000330	0.487311186714992
asv_000986	0.290902383135665
asv_000791	1.39289958872178e-09
asv_000544	0.286727367963937
asv_002768	0
asv_002354	0
asv_001446	0.0702003200152724
asv_001660	0.123770324139465
asv_000431	0.383115175937707
asv_001085	0.358473022213549
asv_003250	0.108264772555007
asv_001255	0.411387769603287
asv_001204	0.184121521827609
asv_004558	0.0727337550254248
asv_000552	0.295034179873365
asv_001621	0.0475040472010914
asv_000719	0.405669366350596
asv_000570	0.0356176701871863
asv_000575	0.0339799989239193
asv_001312	0.221413879866125
asv_001207	0.244437906310766
asv_001232	0.0443875847685265
asv_000906	0.404152124842917
asv_000191	0.516384447403091
asv_002358	0.301988130153881
asv_001649	0
asv_001141	0
asv_001026	0
asv_001888	3.30992083638774e-09
asv_001052	0
asv_001319	0.101986634516561
asv_000483	1.87569783008799e-07
asv_002692	0.321534884990625
asv_000470	0.197090236336265
asv_000629	0.173674042007574
asv_002309	1.2757543225061e-07
asv_000369	0.0653225855787169
asv_001806	0.0231294002879118
asv_000155	0.192029344589978
asv_002136	0
asv_001657	0.202672638061294
asv_002742	0.232985041086588
asv_001001	0.479812795606377
asv_001572	0.0845961820923219
asv_002796	0.203080223261384
asv_002353	0.267375207740809
asv_002743	0.165393303859996
asv_001183	0.0499999969561488
asv_001294	0.18676146166423
asv_000162	0.151121765816438
asv_001167	0.0358567200775016
asv_000160	2.6982707129628e-09
asv_001323	0.327095482613969
asv_000672	0.249601021164625
asv_000711	0.207862260867457
asv_001140	0
asv_000294	0.0667072766717161
asv_000189	0.044335973435777
asv_001875	0.10187141593148
asv_001772	0.500229119874009
asv_000551	0.341281385491613
asv_001948	0.0869986326351759
asv_000183	0.592494189908114
asv_001444	0.202587375713966
asv_001234	0.306813761603088
asv_000674	1.23141059090115e-09
asv_001582	0.299591220259831
asv_001667	0.322658377197887
asv_000322	0.353117548628175
asv_000511	0.166056437620091
asv_000669	0.0864476447337496
asv_000492	0.267420409685361
asv_001169	0.127736497012089
asv_000549	0.441124987333503
asv_001063	0.316021250114779
asv_001011	0.326621866493624
asv_001347	0.020672276916789
asv_001244	0.0485946322228767
asv_000311	0.106393583939316
asv_001303	0.0848547524075916
asv_000896	0.0719723714620061
asv_000341	0.312577481217865
asv_003343	0.0832756687368829
asv_001466	5.5268972788311e-08
asv_002172	0.273567509408307
asv_001073	0.0497081427231831
asv_000473	0.354499912600727
asv_001416	0.174641116789892
asv_000245	0.174248453678985
asv_001057	0.11118150823596
asv_001529	0.257479726300022
asv_001659	0
asv_001448	0
asv_001840	0
asv_001993	0.219693099599043
asv_002205	0.00233622841636376
asv_001532	0.108032333378378
asv_000862	0.52495228428795
asv_000077	0.317448081453726
asv_000406	0.21831130271655
asv_000370	1.13203983656159e-09
asv_001370	0.0585603350008173
asv_000237	0.411023411639417
asv_001461	0.0757013975571835
asv_002138	0.11105512598035
asv_000487	0.161605826722544
asv_000001	0.365680586381183
asv_001834	0.12401230438761
asv_002780	0.104378417384678
asv_001292	0.51062083202101
asv_002018	0.364247353925912
asv_002841	0.248945057933072
asv_000217	0.338504137575056
asv_004447	0
asv_000260	0.336983343516893
asv_001499	0.0753188393609464
asv_000529	0.515180789129855
asv_014370	4.05678383780747e-08
asv_000059	0.200959348642741
asv_000031	0.209889855441639
