id	e2m	m2y	e2m2y	padj	coef	file	method	tissue	trait	treatment	Freq	id_v4	chromosome_name	start_position	end_position
AC148152.3_FG005	8.26060316208475e-15	0.000841055083335762	0.000841055083335762	0.000841055083335762	0.0234079109295781	res.fixed_mediator_T10_stdN_ts_L3Base.csv	res.fixed	L3Base	T10_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	1.19136953821141e-16	0.0014449887763055	0.0014449887763055	0.0072249438815275	0.0206631437138959	res.fixed_mediator_T103_stdN_ts_L3Tip.csv	res.fixed	L3Tip	T103_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	8.26060316208475e-15	0.000116518679982969	0.000116518679982969	0.000349556039948906	0.00182729912509241	res.fixed_mediator_T106_stdN_ts_L3Base.csv	res.fixed	L3Base	T106_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	1.19136953821141e-16	6.77102818258391e-12	6.77102818258391e-12	2.16672901842685e-10	0.00564840065401665	res.fixed_mediator_T109_stdN_ts_L3Tip.csv	res.fixed	L3Tip	T109_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	8.26060316208475e-15	6.18439587978248e-05	6.18439587978248e-05	0.000556595629180423	0.0029974966934561	res.fixed_mediator_T110_stdN_ts_L3Base.csv	res.fixed	L3Base	T110_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	1.19136953821141e-16	0.0460242694627306	0.0460242694627306	0.0460242694627306	-0.00383366038862686	res.fixed_mediator_T111_stdN_ts_L3Tip.csv	res.fixed	L3Tip	T111_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	8.26060316208475e-15	0.00423648468384097	0.00423648468384097	0.0211824234192048	0.000852122425121245	res.fixed_mediator_T118_stdN_ts_L3Base.csv	res.fixed	L3Base	T118_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	1.19136953821141e-16	3.52916785848478e-05	3.52916785848478e-05	0.00137637546480907	0.00823231361846391	res.fixed_mediator_T122_stdN_ts_L3Tip.csv	res.fixed	L3Tip	T122_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	1.19136953821141e-16	4.44089209850063e-16	4.44089209850063e-16	8.43769498715119e-15	0.0394381831215171	res.fixed_mediator_T123_stdN_ts_L3Tip.csv	res.fixed	L3Tip	T123_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
AC148152.3_FG005	1.19136953821141e-16	0.000310802285857781	0.000310802285857781	0.0108780800050223	-6.0123407487793e-11	res.fixed_mediator_T125_stdN_ts_L3Tip.csv	res.fixed	L3Tip	T125_stdN	stdN	77	Zm00001d007718	2	238143557	238145188
